"COMPAÑÍA","ORIGEN","DESTINO","Ene","Feb","Mar","Abr","May","Jun","Jul","Agos","Set","Oct","Nov","Dic","Total general"
"ABSA - AEROLINHAS BRASILEIRAS","LIMA","MIAMI","462,064","-","-","-","-","-","249,831","105,392","365,160","-","-","-","1,182,447"
"ABX AIR INC.","LIMA","MIAMI","415,414","572,382","639,703","608,029","516,673","-","38,437","-","-","-","-","-","2,790,638"
"AERCARIBE PERU","IQUITOS","BOGOTA","2,179","-","1,663","3,380","-","1,862","1,371","1,830","1,187","2,993","12,150","1,941","30,556"
"AERCARIBE PERU","LIMA","BOGOTA","-","-","20,239","32,087","-","-","-","17,246","-","-","-","-","69,572"
"AERCARIBE PERU","LIMA","CURACAO","-","-","-","-","-","-","-","-","-","-","-","77,633","77,633"
"AERCARIBE PERU","LIMA","SANTA CRUZ","-","-","-","-","-","-","-","-","-","-","38,835","-","38,835"
"AERCARIBE PERU","LIMA","SANTIAGO DE CHILE","-","-","-","-","-","-","-","-","-","7,562","-","-","7,562"
"AERO LINEAS ARGENTINAS S.A.","LIMA","BUENOS AIRES","28,653","44,166","27,986","17,867","25,001","24,493","35,969","28,629","44,654","33,334","12,971","33,949","357,672"
"AEROGAL","LIMA","BOGOTA","-","-","-","-","-","-","-","-","-","-","384","22,923","23,307"
"AEROGAL","LIMA","GUAYAQUIL","24,931","22,008","26,146","33,655","26,027","24,869","43,109","13,910","22,621","13,618","17,802","20,560","289,256"
"AEROGAL","LIMA","LA PAZ","31,836","26,821","44,246","36,068","45,242","45,773","71,782","45,192","40,569","41,469","37,662","36,567","503,227"
"AEROGAL","LIMA","QUITO","12,000","14,466","11,964","8,872","9,447","13,853","54,365","11,052","10,980","12,103","14,720","8,795","182,617"
"AEROGAL","LIMA","SANTA CRUZ","15,298","40,419","53,865","31,349","41,418","24,728","72,926","41,119","25,742","49,914","22,094","-","418,872"
"AEROLANE, L.A NAC.DEL ECUADOR S.A.","LIMA","BUENOS AIRES","3,057","261","1,330","2,476","-","-","6,863","-","-","-","-","-","13,987"
"AEROLANE, L.A NAC.DEL ECUADOR S.A.","LIMA","GUAYAQUIL","69,513","69,808","72,312","98,837","81,329","84,170","128,429","108,156","133,434","74,079","132,470","190,719","1,243,256"
"AEROLANE, L.A NAC.DEL ECUADOR S.A.","LIMA","QUITO","13,511","19,005","39,048","25,596","26,766","27,157","22,101","13,938","21,688","19,709","24,093","22,493","275,105"
"AEROVIAS DE MEXICO S.A. DE C.V","LIMA","MEXICO","46,413","61,848","62,673","56,030","49,460","115,749","112,613","70,022","64,483","90,462","90,422","98,794","918,969"
"AIR CANADA","LIMA","MONTREAL","109,602","102,696","98,631","103,142","81,673","82,823","111,642","83,993","123,010","111,227","132,415","128,829","1,269,683"
"AIR CANADA","LIMA","TORONTO","211,972","142,083","168,117","193,744","155,746","165,908","185,980","165,871","189,842","192,403","203,319","231,636","2,206,621"
"AIR EUROPA LINEAS AEREAS S.A.","LIMA","MADRID","304,212","367,870","417,114","306,463","140,695","353,245","481,127","408,223","328,130","363,928","371,857","380,562","4,223,426"
"AIR FRANCE","LIMA","PARIS","112,979","70,684","117,262","173,418","97,667","257,238","277,125","261,547","316,045","205,916","221,190","268,285","2,379,356"
"AMERICAN AIRLINES INC.","LIMA","DALLAS","13,161","19,512","6,322","5,743","6,173","9,022","7,164","9,293","13,210","10,776","4,103","2,496","106,975"
"AMERICAN AIRLINES INC.","LIMA","MIAMI","306,823","193,269","237,290","329,831","355,587","147,804","356,349","397,494","296,229","240,761","239,346","347,954","3,448,737"
"ATLAS AIR INC","LIMA","MIAMI","1,885,693","639,899","422,455","1,065,738","1,096,322","532,877","1,074,250","981,712","1,190,568","962,035","988,004","1,326,232","12,165,785"
"ATLAS AIR INC","LIMA","MONTERREY","-","-","-","-","-","-","-","-","-","-","-","97,881","97,881"
"ATLAS AIR INC","LIMA","QUITO","-","-","-","3,540","-","-","-","-","-","-","-","-","3,540"
"ATLAS AIR INC","LIMA","SANTIAGO DE CHILE","-","-","365","3,841","101","868","-","446","-","-","-","-","5,621"
"ATSA","LIMA","ANTOFAGASTA","-","-","-","-","-","-","-","-","-","-","80","-","80"
"ATSA","LIMA","ASUNCION","-","-","-","-","-","-","-","10","-","-","-","-","10"
"ATSA","LIMA","BOGOTA","-","40","-","-","-","-","-","40","-","-","-","90","170"
"ATSA","LIMA","CALAMA","-","-","-","-","-","-","-","30","-","-","-","-","30"
"ATSA","LIMA","CIUDAD DE GUATEMALA","-","-","-","-","-","20","-","-","-","-","-","-","20"
"ATSA","LIMA","CIUDAD DE PANAMA","-","-","-","-","-","-","70","-","-","-","-","-","70"
"ATSA","LIMA","GRACE BAY","-","-","-","-","-","-","-","-","-","30","-","-","30"
"ATSA","LIMA","LA PAZ","-","-","-","30","-","-","-","30","-","-","-","-","60"
"ATSA","LIMA","PALM BEACH","-","-","20","-","80","-","-","-","-","-","20","-","120"
"ATSA","LIMA","QUITO","-","-","-","-","30","-","70","-","-","-","30","-","130"
"ATSA","LIMA","SALTA","-","20","60","-","-","30","-","-","-","-","-","-","110"
"ATSA","LIMA","SANTA CRUZ","-","-","-","-","60","-","80","-","-","-","-","-","140"
"ATSA","LIMA","SANTIAGO DE CHILE","-","-","-","-","-","-","-","-","-","70","-","70","140"
"AVIANCA","LIMA","BOGOTA","428,344","332,722","345,873","197,838","176,192","361,121","408,613","403,327","335,582","183,804","311,285","386,426","3,871,127"
"AVIANCA PERU","LIMA","ASUNCION","16,897","21,538","15,324","26,245","32,124","29,334","25,405","27,731","26,095","26,278","26,222","25,191","298,384"
"AVIANCA PERU","LIMA","BOGOTA","10,497","18,447","8,054","17,757","31,858","32,033","38,998","60,579","51,498","70,619","35,728","85,220","461,288"
"AVIANCA PERU","LIMA","BUENOS AIRES","500,346","240,271","194,527","129,655","72,781","102,442","260,779","147,840","359,766","236,221","376,641","454,611","3,075,880"
"AVIANCA PERU","LIMA","CALI","4,113","890","5,808","1,722","1,524","538","2,411","2,160","3,099","302","2,449","-","25,016"
"AVIANCA PERU","LIMA","CANCUN","-","-","36","-","-","269","237","345","1,642","-","-","15","2,544"
"AVIANCA PERU","LIMA","EL SALVADOR","184,773","126,253","125,332","106,346","112,283","110,709","146,743","146,566","138,076","164,317","193,729","190,285","1,745,412"
"AVIANCA PERU","LIMA","HABANA","30,976","29,241","32,422","27,038","28,760","21,811","25,482","16,684","20,629","15,904","1,347","-","250,294"
"AVIANCA PERU","LIMA","MEDELLIN","6,402","8,228","17,222","4,355","7,254","1,604","3,425","4,691","3,984","2,432","4,166","-","63,763"
"AVIANCA PERU","LIMA","MENDOZA","220","521","-","-","-","-","-","-","-","-","-","-","741"
"AVIANCA PERU","LIMA","MEXICO","4,705","4,518","5,857","5,445","1,611","7,282","4,454","11,383","869","5,638","9,101","7,736","68,599"
"AVIANCA PERU","LIMA","MIAMI","785,787","498,404","462,715","616,712","680,415","682,554","1,068,754","1,001,920","778,893","761,996","741,124","499,490","8,578,764"
"AVIANCA PERU","LIMA","MONTEVIDEO","27,859","23,695","34,582","30,421","35,753","23,848","27,971","33,406","28,300","25,473","27,136","19,076","337,520"
"AVIANCA PERU","LIMA","ORLANDO","1","2","1","1","1","-","-","-","-","-","-","-","6"
"AVIANCA PERU","LIMA","PORTO ALEGRE","7,894","7,242","13,049","10,922","15,237","10,692","11,405","12,269","8,671","12,924","8,680","6,568","125,553"
"AVIANCA PERU","LIMA","PUNTA CANA","190","4,651","16,386","6,310","12,360","7,769","13,415","9,762","4,698","5,857","6,196","11,077","98,671"
"AVIANCA PERU","LIMA","RIO DE JANEIRO","16,611","14,231","14,599","16,788","8,231","4,888","10,342","11,593","17,072","10,205","9,434","1,770","135,764"
"AVIANCA PERU","LIMA","SALVADOR DE BAHIA","-","-","-","-","-","594","-","-","-","-","-","-","594"
"AVIANCA PERU","LIMA","SANTIAGO DE CHILE","4,815","7,198","96,074","3,553","4,751","186,320","4,558","2,277","197,704","115,652","123,331","265,113","1,011,346"
"AVIANCA PERU","LIMA","SAO PAULO","170,488","77,881","232,388","218,407","157,346","188,988","148,434","156,500","179,086","154,945","306,048","329,416","2,319,927"
"AVIOR AIRLINES","LIMA","CARACAS","6,730","4,483","10,124","14,443","5,224","9,166","9,309","13,443","6,375","2,270","4,929","-","86,496"
"BRITISH AIRWAYS","LIMA","LONDRES","-","-","11,952","157,013","70,888","155,830","196,483","130,679","202,617","100,335","-","-","1,025,797"
"CARGOJET","LIMA","BOGOTA","-","-","-","22,553","51,470","27,968","44,555","-","-","-","-","-","146,546"
"CARGOJET","LIMA","HAMILTON","55,141","61,160","56,775","8,900","-","-","-","-","-","-","-","-","181,976"
"COPA AIRLINES","LIMA","CIUDAD DE PANAMA","138,013","79,816","121,982","101,632","102,769","93,821","69,545","87,530","92,718","112,895","122,680","99,320","1,222,721"
"DELTA AIRLINES INC.","LIMA","ATLANTA","515,446","347,384","492,260","402,526","274,222","494,277","484,353","487,532","492,065","466,184","369,189","411,675","5,237,113"
"DHL EXPRESS AEREO","LIMA","CIUDAD DE PANAMA","-","-","-","-","-","-","3,659","-","-","4,350","3,405","2,452","13,866"
